fips,locationname,obesity_pct,depression_pct,diabetes_pct,copd_pct,smoking_pct,mammography_pct,inactivity_pct,asthma_pct,uninsured_places,hypertension_pct,colorectal_screen_pct
17189,Washington,36.8,22.2,11.7,7.8,13.8,74.3,22.4,10.2,6.7,36.5,67.2
17081,Jefferson,39.8,22.7,13,8.8,16.1,71.5,25.2,10.6,8.4,38.5,62.2
17187,Warren,37,22.4,12.3,8.2,14.5,73.9,25,10.4,9.5,36.1,59.9
17127,Massac,40.8,22.8,14.1,9.7,16.6,70.6,26.8,10.9,8.4,39.9,59
17055,Franklin,41.6,23.7,13.9,10.2,17.7,64.1,27.6,10.9,8.7,38.7,60
17163,St. Clair,38.8,20.9,13.1,7.2,14.2,76.5,25,11.1,7.8,39,64.4
17123,Marshall,38.6,22.5,13,8.9,15.2,68.3,25.1,10.4,8.1,38.9,63.5
17069,Hardin,39.7,22.4,14.7,10.5,16.9,70.6,27.4,10.6,8.4,42.1,62.4
17101,Lawrence,40.7,22,12.8,9.2,17.6,64.6,27,10.5,10.6,38.1,57.9
17151,Pope,39.6,21.3,14.9,9.9,15,67.6,26.1,10.3,7.1,43,64.6
17003,Alexander,45.3,21.2,19,12.1,19.6,71.2,33.3,11.7,10.1,47.9,62.8
17039,De Witt,38.2,22.5,12.2,8.4,15.3,71.5,24.2,10.4,7.7,37.2,63.6
17177,Stephenson,40.6,22.4,13.9,9.1,15,73.7,26.8,10.6,8.2,40.1,63.4
17137,Morgan,39.9,22.5,12.6,8.8,15.6,68.7,24.9,10.5,8.6,38,62.5
17185,Wabash,39.8,22.9,13.3,9.4,15.8,71.8,25.6,10.6,7.9,38.4,62.9
17157,Randolph,38.8,21.9,12.9,8.9,16.3,72.4,26.2,10.4,9.3,39.1,62.6
17071,Henderson,38.6,21.4,14.1,9.6,15.1,70.7,25.8,10.2,7.6,41.8,64.9
17011,Bureau,38.1,22.5,13.2,8.9,14.8,71.7,25.8,10.2,9.1,37.9,64.4
17115,Macon,42.1,21.7,13.3,8.5,15,70.4,25.9,10.8,8.1,39.2,63.9
17037,DeKalb,35.1,23,10.3,6.3,12.6,75,22.5,10.4,9.2,30.4,62.6
17195,Whiteside,36.2,21.5,13,8.3,14.6,71.6,25.4,10.2,9.6,37.1,64.1
17119,Madison,38.7,22.2,11.2,7.2,13.3,74,22.1,10.5,7.3,35.5,63.3
17181,Union,39.8,22.8,14.1,10.1,17.1,71.7,28,10.7,9.3,39.8,58.5
17097,Lake,32.9,18.1,11.2,5.4,10.4,75.5,19.9,9.1,9.2,32.4,61.9
17067,Hancock,38.8,22,13.2,9,14.7,70.6,25.2,10.3,7.3,39.6,66.6
17053,Ford,37.7,22.9,12.4,8.7,15.8,68.5,25.6,10.6,8.5,37.1,63
17201,Winnebago,42,22.5,13.9,8.3,15.5,71.4,27,10.6,10.7,38.2,60.8
17203,Woodford,37.3,22,10.6,6.8,12.4,75.9,20.6,10.1,6.1,34.7,64.4
17199,Williamson,40.1,22.9,12.4,8.2,14.7,70.8,24.3,10.5,7.5,37.2,63.5
